,Id,Guess
36,0eedcdca-bb9d-11e8-b2b9-ac1f6b6435d0, 25
37,0fb712b6-bba7-11e8-b2ba-ac1f6b6435d0, 25 21
38,1039a0de-bbaa-11e8-b2ba-ac1f6b6435d0, 13 0
39,104700b4-bba3-11e8-b2b9-ac1f6b6435d0, 9 10
40,107a48ea-bbc9-11e8-b2bc-ac1f6b6435d0, 0 25
41,12b53ca6-bba0-11e8-b2b9-ac1f6b6435d0, 25 4
42,13d4bbb8-bba8-11e8-b2ba-ac1f6b6435d0, 3
43,14043982-bbc2-11e8-b2bb-ac1f6b6435d0, 0
44,15a16118-bb9d-11e8-b2b9-ac1f6b6435d0, 25 26
45,15c5351a-bbb7-11e8-b2ba-ac1f6b6435d0, 0 25
46,1683666a-bba9-11e8-b2ba-ac1f6b6435d0, 25 26 13
47,16ae61b0-bbc9-11e8-b2bc-ac1f6b6435d0, 0 23
48,17bbba5e-bbbe-11e8-b2ba-ac1f6b6435d0, 0 25
49,188faf76-bbc8-11e8-b2bc-ac1f6b6435d0, 7
50,1920affe-bba4-11e8-b2b9-ac1f6b6435d0, 23
51,1926c486-bbbb-11e8-b2ba-ac1f6b6435d0, 14 16
52,1af6e2ae-bbb7-11e8-b2ba-ac1f6b6435d0, 3
53,1cd51cb6-bbbd-11e8-b2ba-ac1f6b6435d0, 3
54,1d706dfa-bbb4-11e8-b2ba-ac1f6b6435d0, 0 25
55,1dc82694-bbaa-11e8-b2ba-ac1f6b6435d0, 25
56,1e5451d0-bbac-11e8-b2ba-ac1f6b6435d0, 9 10
57,20fb8c68-bb9e-11e8-b2b9-ac1f6b6435d0, 25
58,21e3432a-bbbf-11e8-b2ba-ac1f6b6435d0, 0 2
59,22b76a50-bba7-11e8-b2ba-ac1f6b6435d0, 25 2
60,22b96688-bba3-11e8-b2b9-ac1f6b6435d0, 25
61,23fdf804-bbaa-11e8-b2ba-ac1f6b6435d0, 21
62,2444994c-bba2-11e8-b2b9-ac1f6b6435d0, 25
63,26effe48-bba7-11e8-b2ba-ac1f6b6435d0, 8 9
64,26f40624-bba6-11e8-b2ba-ac1f6b6435d0, 25
65,28c36822-bba2-11e8-b2b9-ac1f6b6435d0, 8 9
66,2916fcaa-bb9b-11e8-b2b9-ac1f6b6435d0, 25
67,2ac17024-bbb1-11e8-b2ba-ac1f6b6435d0, 18
68,00a71d92-bbb2-11e8-b2ba-ac1f6b6435d0, 21
69,032f0da4-bbc6-11e8-b2bc-ac1f6b6435d0, 1 0 26
70,051c9598-bbab-11e8-b2ba-ac1f6b6435d0, 25 26
71,07c73db2-bbb4-11e8-b2ba-ac1f6b6435d0, 19
72,07f4a69c-bbb6-11e8-b2ba-ac1f6b6435d0, 3 7
73,091ab1ec-bbc0-11e8-b2bb-ac1f6b6435d0, 5 7
74,0c915152-bbaf-11e8-b2ba-ac1f6b6435d0, 7
75,0cd9481a-bbb7-11e8-b2ba-ac1f6b6435d0, 1
76,10a1cce8-bbc5-11e8-b2bc-ac1f6b6435d0, 25 3
77,112321ea-bb9c-11e8-b2b9-ac1f6b6435d0, 11
78,120fe8a4-bbc4-11e8-b2bc-ac1f6b6435d0, 2
79,1278073a-bbac-11e8-b2ba-ac1f6b6435d0, 9 10
80,148f1c1a-bbc6-11e8-b2bc-ac1f6b6435d0, 14
81,156ae0f2-bbac-11e8-b2ba-ac1f6b6435d0, 0
82,160721d8-bbca-11e8-b2bc-ac1f6b6435d0, 14 18
83,16bc8bbe-bbb5-11e8-b2ba-ac1f6b6435d0, 7
84,17cb689a-bbab-11e8-b2ba-ac1f6b6435d0, 3
85,17e922fa-bbaa-11e8-b2ba-ac1f6b6435d0, 7
86,1927d6d8-bb9c-11e8-b2b9-ac1f6b6435d0, 5
87,19575ba6-bbbf-11e8-b2ba-ac1f6b6435d0, 6
88,19cd758e-bba1-11e8-b2b9-ac1f6b6435d0, 4
89,1be97688-bba6-11e8-b2ba-ac1f6b6435d0, 11
90,1d382a22-bba4-11e8-b2b9-ac1f6b6435d0, 24
91,1da23234-bbbb-11e8-b2ba-ac1f6b6435d0, 10 9
92,1f2bc9c6-bbc0-11e8-b2bb-ac1f6b6435d0, 25
93,1fe7149e-bbb4-11e8-b2ba-ac1f6b6435d0, 17 11
94,20871ff8-bbc2-11e8-b2bb-ac1f6b6435d0, 4 
95,23722a9e-bbab-11e8-b2ba-ac1f6b6435d0, 14
96,23fa6c9a-bb9e-11e8-b2b9-ac1f6b6435d0, 0 13
97,2446f970-bba8-11e8-b2ba-ac1f6b6435d0, 5
98,26913b24-bba7-11e8-b2ba-ac1f6b6435d0, 0
99,277d17da-bbaf-11e8-b2ba-ac1f6b6435d0, 6
100,29907fbe-bbb7-11e8-b2ba-ac1f6b6435d0, 7
101,2a0227aa-bba2-11e8-b2b9-ac1f6b6435d0, 0
102,2a68692c-bb9b-11e8-b2b9-ac1f6b6435d0, 6 9 10
103,2b2690f2-bba3-11e8-b2b9-ac1f6b6435d0, 0
104,2d3aef44-bbaf-11e8-b2ba-ac1f6b6435d0, 8
105,2e0c21f6-bbb7-11e8-b2ba-ac1f6b6435d0, 0
106,2e4d9752-bbb3-11e8-b2ba-ac1f6b6435d0, 25
107,30115e64-bba1-11e8-b2b9-ac1f6b6435d0, 8
108,3019a292-bbbd-11e8-b2ba-ac1f6b6435d0, 25 3
109,30f7ea2e-bbc3-11e8-b2bc-ac1f6b6435d0, 4
110,312c12aa-bbb3-11e8-b2ba-ac1f6b6435d0, 5
111,3280c9f6-bbaf-11e8-b2ba-ac1f6b6435d0, 0 7
112,34cecda6-bbbf-11e8-b2ba-ac1f6b6435d0, 24
113,352a4626-bbb1-11e8-b2ba-ac1f6b6435d0, 5
114,366e1c5c-bbb5-11e8-b2ba-ac1f6b6435d0, 8
115,36e716e4-bbaf-11e8-b2ba-ac1f6b6435d0, 3
116,399ccbbc-bbab-11e8-b2ba-ac1f6b6435d0, 0
117,3aa0d942-bbc7-11e8-b2bc-ac1f6b6435d0, 0 1
118,3b21066a-bb9c-11e8-b2b9-ac1f6b6435d0, 9 10
119,3b8c44b8-bbae-11e8-b2ba-ac1f6b6435d0, 3
120,3c9997f8-bbbc-11e8-b2ba-ac1f6b6435d0, 3
121,3dfa84ac-bba0-11e8-b2b9-ac1f6b6435d0, 0
122,3e88c024-bba4-11e8-b2b9-ac1f6b6435d0, 3 25
123,3e942422-bbaf-11e8-b2ba-ac1f6b6435d0, 2 0 25
124,404e3e8c-bbc4-11e8-b2bc-ac1f6b6435d0, 22
125,40d5798e-bbaa-11e8-b2ba-ac1f6b6435d0, 8
126,4216d30e-bbac-11e8-b2ba-ac1f6b6435d0, 0 9 10
127,4285c424-bbb3-11e8-b2ba-ac1f6b6435d0, 0 9 10
128,43413ce4-bb9b-11e8-b2b9-ac1f6b6435d0, 0
129,43672db4-bbc8-11e8-b2bc-ac1f6b6435d0, 20
130,44899a80-bb9e-11e8-b2b9-ac1f6b6435d0, 0
131,457daa02-bba9-11e8-b2ba-ac1f6b6435d0, 6 0
132,49fd132c-bbba-11e8-b2ba-ac1f6b6435d0, 0
133,4b3b05c0-bbae-11e8-b2ba-ac1f6b6435d0, 9 10
134,4bbb99ae-bbab-11e8-b2ba-ac1f6b6435d0, 23 0
135,4cea9976-bba4-11e8-b2b9-ac1f6b6435d0, 21
136,4d91f2e6-bbab-11e8-b2ba-ac1f6b6435d0, 2 4
137,4e31ee08-bba2-11e8-b2b9-ac1f6b6435d0, 9 10
138,4ec620e2-bbba-11e8-b2ba-ac1f6b6435d0, 4
139,4f08d9a0-bba6-11e8-b2ba-ac1f6b6435d0, 9 10
140,4fd4f414-bb9b-11e8-b2b9-ac1f6b6435d0, 25
141,526f7dac-bb9b-11e8-b2b9-ac1f6b6435d0, 7
142,5290c762-bbc5-11e8-b2bc-ac1f6b6435d0, 25
143,52f0a80a-bbbe-11e8-b2ba-ac1f6b6435d0, 8
144,5390310a-bba9-11e8-b2ba-ac1f6b6435d0, 25
145,549e2b80-bba7-11e8-b2ba-ac1f6b6435d0, 23
146,54d6ebf4-bbbc-11e8-b2ba-ac1f6b6435d0, 15 16
147,56f37178-bbc1-11e8-b2bb-ac1f6b6435d0, 13 3
148,5793e8f4-bba0-11e8-b2b9-ac1f6b6435d0, 25
149,57e0e15e-bbaa-11e8-b2ba-ac1f6b6435d0, 25
150,58793a0e-bba4-11e8-b2b9-ac1f6b6435d0, 8
151,5ba2d556-bbb2-11e8-b2ba-ac1f6b6435d0, 14
152,5c139a88-bbb8-11e8-b2ba-ac1f6b6435d0, 12
153,5eab5ea0-bbbf-11e8-b2ba-ac1f6b6435d0, 21
154,5f1ec064-bbc6-11e8-b2bc-ac1f6b6435d0, 21
155,5f3220c6-bba0-11e8-b2b9-ac1f6b6435d0, 26 0
156,5fc7f9f8-bba4-11e8-b2b9-ac1f6b6435d0, 3 25
157,601c5c30-bbb0-11e8-b2ba-ac1f6b6435d0, 4
158,622efc56-bba3-11e8-b2b9-ac1f6b6435d0, 0
159,629f8aa6-bbae-11e8-b2ba-ac1f6b6435d0, 7
160,64e71ed0-bba1-11e8-b2b9-ac1f6b6435d0, 0 2
161,66ad2aec-bba2-11e8-b2b9-ac1f6b6435d0, 0 6
162,6b0327b0-bba0-11e8-b2b9-ac1f6b6435d0, 0 25
163,6c643f18-bbbe-11e8-b2ba-ac1f6b6435d0, 3 23
